1=p	2=qi.1	3=qi.2	4=qi.3	5=qi.4	6=qi.5	7=qi.6	8=qi.7	9=qi.8	10=theta	11=c	12=s	13=q
0.279565	0.290091	0.261531	0.283102	0.290051	0.287765	0.291922	0.276492	0.267548	0.99637	3159.15	0.0433193	0.278833
0.281259	0.293965	0.268452	0.311886	0.290767	0.269341	0.298849	0.27248	0.298682	1.02066	1559.64	0.079155	0.28541
0.284614	0.291153	0.256997	0.293309	0.297325	0.295377	0.289381	0.281329	0.275578	1.00448	371.811	0.225774	0.285524
0.289226	0.288242	0.268475	0.280801	0.281022	0.273469	0.302004	0.272985	0.293805	0.974859	2948.03	0.0561285	0.28402
0.290902	0.28286	0.273107	0.283728	0.271407	0.281355	0.297301	0.269921	0.29112	0.949768	2467.43	0.116638	0.280386
0.289881	0.28458	0.266373	0.2791	0.277773	0.274688	0.292047	0.273265	0.295348	0.94985	3758.42	0.157478	0.279406
0.27584	0.300863	0.270677	0.315072	0.311414	0.28675	0.291614	0.283108	0.269094	1.07948	821.724	0.0576403	0.291375
0.285635	0.290006	0.257804	0.286715	0.278412	0.275766	0.306021	0.26596	0.300916	0.930751	887.105	0.269219	0.27122
0.280631	0.29504	0.267063	0.306605	0.301536	0.277425	0.282603	0.277875	0.260712	0.995229	1088.36	0.0397003	0.279667
0.279727	0.290704	0.26322	0.298595	0.287805	0.28461	0.309554	0.274458	0.311158	1.02059	915.093	0.0938958	0.283853
0.279834	0.301005	0.274359	0.299468	0.301868	0.279294	0.286643	0.286344	0.268233	1.01712	1739.05	0.17689	0.283268
0.283831	0.288448	0.267207	0.295989	0.28778	0.288387	0.300562	0.275302	0.304252	1.00441	2311.64	0.0304306	0.284727
0.2857	0.289529	0.264254	0.302985	0.288691	0.284695	0.299459	0.271444	0.301597	1.01922	2258.75	0.0210646	0.289602
0.282104	0.298311	0.280261	0.304056	0.291543	0.281988	0.29897	0.286521	0.283477	1.02726	1578.23	0.0834694	0.287584
0.283638	0.280846	0.278877	0.314477	0.283799	0.285002	0.293437	0.272869	0.286289	1.02865	1881.15	0.0398352	0.289412
0.27763	0.299897	0.251289	0.276833	0.300114	0.275842	0.295263	0.283815	0.267987	1.00444	1185.23	0.305624	0.27852
0.284267	0.295923	0.254058	0.276308	0.314736	0.280656	0.308073	0.276959	0.29034	0.992079	793.995	0.252127	0.282652
0.282318	0.29265	0.24714	0.289303	0.318717	0.276554	0.311448	0.270188	0.290833	0.991008	685.848	0.069141	0.280491
0.282581	0.300428	0.250181	0.287368	0.315068	0.284604	0.313017	0.274395	0.286205	0.997299	697.893	0.122337	0.282033
0.278613	0.29035	0.266657	0.301871	0.26747	0.272596	0.284069	0.272484	0.283123	1.04618	1315.1	0.111863	0.287777
0.275383	0.292163	0.269318	0.303687	0.263258	0.276812	0.296458	0.285902	0.281973	1.03424	1655.99	0.748153	0.282153
0.276709	0.288993	0.268316	0.295521	0.266537	0.278455	0.297061	0.286249	0.281108	1.05163	2405.47	0.143043	0.286896
0.274205	0.286537	0.260686	0.283732	0.274433	0.278421	0.292272	0.280088	0.280138	1.03837	2844.59	0.098872	0.281761
0.290167	0.284344	0.278704	0.28746	0.295377	0.275099	0.28309	0.269237	0.277921	0.945874	2737.79	0.267874	0.278841
0.277268	0.30733	0.262464	0.304907	0.291747	0.283316	0.327322	0.272534	0.296891	1.0211	690.582	0.01588	0.281472
0.283948	0.285162	0.261455	0.291428	0.294193	0.274858	0.272618	0.275045	0.270026	0.941072	2119.85	0.0940284	0.271763
0.293096	0.285425	0.28593	0.286139	0.284442	0.276107	0.294864	0.28326	0.297736	0.966942	3373.92	0.452868	0.28618
0.27828	0.28302	0.267371	0.289783	0.277252	0.282952	0.289596	0.276728	0.277211	0.995672	801.564	0.192956	0.277409
0.281874	0.300078	0.274526	0.301821	0.305677	0.281637	0.298673	0.272887	0.269995	1.02319	2120.69	0.0770405	0.286537
0.288821	0.301608	0.287564	0.290665	0.309314	0.28014	0.298579	0.277634	0.279105	1.05452	765.796	0.0528036	0.299846
0.277523	0.280837	0.250577	0.287554	0.268815	0.275009	0.289257	0.268186	0.28458	1.05507	837.016	0.440983	0.288398
0.284804	0.305996	0.267039	0.316315	0.319769	0.280767	0.299204	0.264578	0.277067	0.993557	185.92	0.0150573	0.283489
0.281896	0.303102	0.25294	0.31952	0.287066	0.268617	0.293315	0.272721	0.276409	0.994134	665.683	0.00903663	0.280706
0.287706	0.295802	0.265484	0.319186	0.292681	0.268429	0.287609	0.271169	0.270884	1.00871	429.086	0.0250121	0.289486
